Total,col_1,Sim,Não,Não sabe,Não respondeu,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,124668,5305,-,-,TOTAL,Total,TOTAL_Total,A1,A1 - ESCOLAS COM ACESSO À INTERNET
REGIÃO,Norte,15884,3641,-,-,REGIÃO,Norte,REGIÃO_Norte,A1,A1 - ESCOLAS COM ACESSO À INTERNET
REGIÃO,Nordeste,48711,870,-,-,REGIÃO,Nordeste,REGIÃO_Nordeste,A1,A1 - ESCOLAS COM ACESSO À INTERNET
REGIÃO,Sudeste,36684,794,-,-,REGIÃO,Sudeste,REGIÃO_Sudeste,A1,A1 - ESCOLAS COM ACESSO À INTERNET
REGIÃO,Sul,15663,0,-,-,REGIÃO,Sul,REGIÃO_Sul,A1,A1 - ESCOLAS COM ACESSO À INTERNET
REGIÃO,Centro-Oeste,7726,0,-,-,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,A1,A1 - ESCOLAS COM ACESSO À INTERNET
ÁREA,Urbana,82817,204,-,-,ÁREA,Urbana,ÁREA_Urbana,A1,A1 - ESCOLAS COM ACESSO À INTERNET
ÁREA,Rural,41851,5101,-,-,ÁREA,Rural,ÁREA_Rural,A1,A1 - ESCOLAS COM ACESSO À INTERNET
LOCALIZAÇÃO,Capital,17286,339,-,-,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,A1,A1 - ESCOLAS COM ACESSO À INTERNET
LOCALIZAÇÃO,Interior,107382,4966,-,-,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,A1,A1 - ESCOLAS COM ACESSO À INTERNET
DEPENDÊNCIA ADMINISTRATIVA,Municipal,70604,4754,-,-,DEPENDÊNCIA ADMINISTRATIVA,Municipal,DEPENDÊNCIA_ADMINISTRATIVA_Municipal,A1,A1 - ESCOLAS COM ACESSO À INTERNET
DEPENDÊNCIA ADMINISTRATIVA,Estadual,27643,479,-,-,DEPENDÊNCIA ADMINISTRATIVA,Estadual,DEPENDÊNCIA_ADMINISTRATIVA_Estadual,A1,A1 - ESCOLAS COM ACESSO À INTERNET
DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)",98876,5234,-,-,DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)","DEPENDÊNCIA_ADMINISTRATIVA_Públicas_(Municipal,_Estadual_e_Federal)",A1,A1 - ESCOLAS COM ACESSO À INTERNET
DEPENDÊNCIA ADMINISTRATIVA,Particular,25791,72,-,-,DEPENDÊNCIA ADMINISTRATIVA,Particular,DEPENDÊNCIA_ADMINISTRATIVA_Particular,A1,A1 - ESCOLAS COM ACESSO À INTERNET
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,52498,3460,-,-,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_iniciais_do_Ensino_Fundamental,A1,A1 - ESCOLAS COM ACESSO À INTERNET
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,41254,1845,-,-,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_finais_do_Ensino_Fundamental,A1,A1 - ESCOLAS COM ACESSO À INTERNET
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,30916,0,-,-,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_Ensino_Médio_ou_Educação_Profissional,A1,A1 - ESCOLAS COM ACESSO À INTERNET
PORTE,Até 50 matrículas,22973,3477,-,-,PORTE,Até 50 matrículas,PORTE_Até_50_matrículas,A1,A1 - ESCOLAS COM ACESSO À INTERNET
PORTE,De 51 a 150 matrículas,23621,1695,-,-,PORTE,De 51 a 150 matrículas,PORTE_De_51_a_150_matrículas,A1,A1 - ESCOLAS COM ACESSO À INTERNET
PORTE,De 151 a 300 matrículas,28853,0,-,-,PORTE,De 151 a 300 matrículas,PORTE_De_151_a_300_matrículas,A1,A1 - ESCOLAS COM ACESSO À INTERNET
PORTE,De 301 a 500 matrículas,24252,79,-,-,PORTE,De 301 a 500 matrículas,PORTE_De_301_a_500_matrículas,A1,A1 - ESCOLAS COM ACESSO À INTERNET
PORTE,De 501 a 1.000 matrículas,19387,54,-,-,PORTE,De 501 a 1.000 matrículas,PORTE_De_501_a_1.000_matrículas,A1,A1 - ESCOLAS COM ACESSO À INTERNET
PORTE,Mais de 1.000 matrículas,5580,0,-,-,PORTE,Mais de 1.000 matrículas,PORTE_Mais_de_1.000_matrículas,A1,A1 - ESCOLAS COM ACESSO À INTERNET
