Total,col_1,Conexão via cabo,Conexão via rádio,Conexão via satélite,"Modem 3G, 4G ou 5G",Conexão via fibra ótica,Não sabe,Não respondeu,Não se aplica,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,28042,5857,10984,7952,66242,4149,1442,0,TOTAL,Total,TOTAL_Total,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
REGIÃO,Norte,1950,1401,4344,303,7526,360,0,0,REGIÃO,Norte,REGIÃO_Norte,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
REGIÃO,Nordeste,12694,2197,4503,2165,23087,2624,1442,0,REGIÃO,Nordeste,REGIÃO_Nordeste,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
REGIÃO,Sudeste,8831,1219,800,3999,21145,689,0,0,REGIÃO,Sudeste,REGIÃO_Sudeste,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
REGIÃO,Sul,2272,391,1322,521,10773,385,0,0,REGIÃO,Sul,REGIÃO_Sul,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
REGIÃO,Centro-Oeste,2295,649,15,964,3712,91,0,0,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
ÁREA,Urbana,19652,456,1354,7253,52533,1218,352,0,ÁREA,Urbana,ÁREA_Urbana,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
ÁREA,Rural,8390,5401,9631,699,13709,2931,1090,0,ÁREA,Rural,ÁREA_Rural,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
LOCALIZAÇÃO,Capital,6223,26,209,1976,8331,521,0,0,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
LOCALIZAÇÃO,Interior,21818,5831,10775,5976,57912,3628,1442,0,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
DEPENDÊNCIA ADMINISTRATIVA,Municipal,17040,4974,8753,3730,32422,2595,1090,0,DEPENDÊNCIA ADMINISTRATIVA,Municipal,DEPENDÊNCIA_ADMINISTRATIVA_Municipal,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
DEPENDÊNCIA ADMINISTRATIVA,Estadual,6556,863,1608,2158,15144,1313,0,0,DEPENDÊNCIA ADMINISTRATIVA,Estadual,DEPENDÊNCIA_ADMINISTRATIVA_Estadual,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)",23724,5857,10361,5907,48019,3918,1090,0,DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)","DEPENDÊNCIA_ADMINISTRATIVA_Públicas_(Municipal,_Estadual_e_Federal)",A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
DEPENDÊNCIA ADMINISTRATIVA,Particular,4317,0,623,2044,18224,231,352,0,DEPENDÊNCIA ADMINISTRATIVA,Particular,DEPENDÊNCIA_ADMINISTRATIVA_Particular,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,14494,3430,4500,3434,22685,2514,1442,0,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_iniciais_do_Ensino_Fundamental,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,7019,1802,5246,1895,24858,434,0,0,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_finais_do_Ensino_Fundamental,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,6529,625,1238,2622,18699,1202,0,0,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_Ensino_Médio_ou_Educação_Profissional,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
PORTE,Até 50 matrículas,6119,3849,4911,603,5208,1932,352,0,PORTE,Até 50 matrículas,PORTE_Até_50_matrículas,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
PORTE,De 51 a 150 matrículas,4803,1245,3224,1022,11341,897,1090,0,PORTE,De 51 a 150 matrículas,PORTE_De_51_a_150_matrículas,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
PORTE,De 151 a 300 matrículas,4654,529,2515,2106,18902,148,0,0,PORTE,De 151 a 300 matrículas,PORTE_De_151_a_300_matrículas,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
PORTE,De 301 a 500 matrículas,5402,155,6,2147,15779,763,0,0,PORTE,De 301 a 500 matrículas,PORTE_De_301_a_500_matrículas,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
PORTE,De 501 a 1.000 matrículas,5644,79,244,1682,11426,310,0,0,PORTE,De 501 a 1.000 matrículas,PORTE_De_501_a_1.000_matrículas,A2,"A2 - ESCOLAS COM ACESSO À INTERNET, POR TIPO DA PRINCIPAL CONEXÃO UTILIZADA"
