Total,col_1,Até 10 Mbps,De 11 Mbps a 50 Mbps,De 51 Mbps a 100 Mbps,De 101 Mbps a 250 Mbps,De 251 Mbps a 500 Mbps,De 501 Mbps a 1 Gbps,1 Gbps ou mais,Não sabe,Não respondeu,Não se aplica,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,12353,10805,16833,11536,18884,18951,9656,25214,435,0,TOTAL,Total,TOTAL_Total,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
REGIÃO,Norte,4500,2309,490,1127,1724,1864,895,2976,0,0,REGIÃO,Norte,REGIÃO_Norte,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
REGIÃO,Nordeste,3597,5785,10733,4635,6679,3381,3287,10345,268,0,REGIÃO,Nordeste,REGIÃO_Nordeste,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
REGIÃO,Sudeste,2992,1482,3917,3284,4433,8546,3174,8855,0,0,REGIÃO,Sudeste,REGIÃO_Sudeste,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
REGIÃO,Sul,969,741,1261,1680,4686,3162,1433,1620,111,0,REGIÃO,Sul,REGIÃO_Sul,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
REGIÃO,Centro-Oeste,295,489,432,809,1362,1999,867,1418,56,0,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
ÁREA,Urbana,4625,2472,8736,8653,16876,17257,8582,15293,324,0,ÁREA,Urbana,ÁREA_Urbana,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
ÁREA,Rural,7729,8333,8097,2883,2009,1694,1074,9921,111,0,ÁREA,Rural,ÁREA_Rural,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
LOCALIZAÇÃO,Capital,354,1258,1572,1769,2638,2927,2577,4191,0,0,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
LOCALIZAÇÃO,Interior,11999,9547,15261,9767,16247,16024,7079,21023,435,0,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
DEPENDÊNCIA ADMINISTRATIVA,Municipal,8450,7826,13228,6554,8752,8980,2346,14199,268,0,DEPENDÊNCIA ADMINISTRATIVA,Municipal,DEPENDÊNCIA_ADMINISTRATIVA_Municipal,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
DEPENDÊNCIA ADMINISTRATIVA,Estadual,1631,2167,3181,3314,5523,4012,1183,6465,167,0,DEPENDÊNCIA ADMINISTRATIVA,Estadual,DEPENDÊNCIA_ADMINISTRATIVA_Estadual,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)",10089,10020,16454,9932,14334,13102,3732,20778,435,0,DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)","DEPENDÊNCIA_ADMINISTRATIVA_Públicas_(Municipal,_Estadual_e_Federal)",A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
DEPENDÊNCIA ADMINISTRATIVA,Particular,2264,785,379,1604,4550,5849,5924,4436,0,0,DEPENDÊNCIA ADMINISTRATIVA,Particular,DEPENDÊNCIA_ADMINISTRATIVA_Particular,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,2850,5337,9934,5581,5381,7792,2846,12509,268,0,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_iniciais_do_Ensino_Fundamental,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,7646,3896,3994,3442,7054,6123,2794,6193,111,0,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_finais_do_Ensino_Fundamental,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,1858,1571,2905,2513,6450,5036,4015,6512,56,0,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_Ensino_Médio_ou_Educação_Profissional,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
PORTE,Até 50 matrículas,4083,5893,3291,1351,473,898,111,6762,111,0,PORTE,Até 50 matrículas,PORTE_Até_50_matrículas,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
PORTE,De 51 a 150 matrículas,2544,1116,3661,2094,3169,3615,2603,4818,0,0,PORTE,De 51 a 150 matrículas,PORTE_De_51_a_150_matrículas,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
PORTE,De 151 a 300 matrículas,3381,2666,3778,3908,5139,3331,3073,3309,268,0,PORTE,De 151 a 300 matrículas,PORTE_De_151_a_300_matrículas,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
PORTE,De 301 a 500 matrículas,1456,573,3715,1922,4852,4768,975,5991,0,0,PORTE,De 301 a 500 matrículas,PORTE_De_301_a_500_matrículas,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
PORTE,De 501 a 1.000 matrículas,471,399,1694,2085,4225,4686,2319,3453,56,0,PORTE,De 501 a 1.000 matrículas,PORTE_De_501_a_1.000_matrículas,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
PORTE,Mais de 1.000 matrículas,418,158,694,176,1027,1652,575,881,0,0,PORTE,Mais de 1.000 matrículas,PORTE_Mais_de_1.000_matrículas,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,5708,4892,8061,7722,15559,14720,6714,12608,435,0,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Sim,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,6645,5913,8772,3814,3325,4231,2942,12606,0,0,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Não,A3_1,"A3_1 - ESCOLAS COM ACESSO À INTERNET, POR VELOCIDADE DA PRINCIPAL CONEXÃO UTILIZADA"
