Total,col_1,Sim,Não,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,115302,14671,TOTAL,Total,TOTAL_Total,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
REGIÃO,Norte,13087,6438,REGIÃO,Norte,REGIÃO_Norte,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
REGIÃO,Nordeste,42916,6665,REGIÃO,Nordeste,REGIÃO_Nordeste,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
REGIÃO,Sudeste,36475,1003,REGIÃO,Sudeste,REGIÃO_Sudeste,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
REGIÃO,Sul,15323,340,REGIÃO,Sul,REGIÃO_Sul,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
REGIÃO,Centro-Oeste,7501,225,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
ÁREA,Urbana,82949,72,ÁREA,Urbana,ÁREA_Urbana,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
ÁREA,Rural,32353,14599,ÁREA,Rural,ÁREA_Rural,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
LOCALIZAÇÃO,Capital,17532,93,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
LOCALIZAÇÃO,Interior,97770,14578,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
DEPENDÊNCIA ADMINISTRATIVA,Municipal,62157,13201,DEPENDÊNCIA ADMINISTRATIVA,Municipal,DEPENDÊNCIA_ADMINISTRATIVA_Municipal,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
DEPENDÊNCIA ADMINISTRATIVA,Estadual,26724,1398,DEPENDÊNCIA ADMINISTRATIVA,Estadual,DEPENDÊNCIA_ADMINISTRATIVA_Estadual,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)",89511,14599,DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)","DEPENDÊNCIA_ADMINISTRATIVA_Públicas_(Municipal,_Estadual_e_Federal)",B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
DEPENDÊNCIA ADMINISTRATIVA,Particular,25791,72,DEPENDÊNCIA ADMINISTRATIVA,Particular,DEPENDÊNCIA_ADMINISTRATIVA_Particular,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,46540,9418,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_iniciais_do_Ensino_Fundamental,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,39011,4088,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_finais_do_Ensino_Fundamental,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,29751,1165,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_Ensino_Médio_ou_Educação_Profissional,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
PORTE,Até 50 matrículas,18285,8166,PORTE,Até 50 matrículas,PORTE_Até_50_matrículas,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
PORTE,De 51 a 150 matrículas,19021,6296,PORTE,De 51 a 150 matrículas,PORTE_De_51_a_150_matrículas,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
PORTE,De 151 a 300 matrículas,28749,105,PORTE,De 151 a 300 matrículas,PORTE_De_151_a_300_matrículas,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
PORTE,De 301 a 500 matrículas,24227,105,PORTE,De 301 a 500 matrículas,PORTE_De_301_a_500_matrículas,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
PORTE,De 501 a 1.000 matrículas,19441,0,PORTE,De 501 a 1.000 matrículas,PORTE_De_501_a_1.000_matrículas,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
PORTE,Mais de 1.000 matrículas,5580,0,PORTE,Mais de 1.000 matrículas,PORTE_Mais_de_1.000_matrículas,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,76419,0,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Sim,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,38883,14671,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Não,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
Fonte: Núcleo de Informação e Coordenação do Ponto BR. (2024). Pesquisa sobre o uso das tecnologias de informação e comunicação nos domicílios brasileiros: TIC Educação 2024 [Tabelas].,,,,Fonte: Núcleo de Informação e Coordenação do Ponto BR. (2024). Pesquisa sobre o uso das tecnologias de informação e comunicação nos domicílios brasileiros: TIC Educação 2024 [Tabelas].,,Fonte:_Núcleo_de_Informação_e_Coordenação_do_Ponto_BR._(2024)._Pesquisa_sobre_o_uso_das_tecnologias_de_informação_e_comunicação_nos_domicílios_brasileiros:_TIC_Educação_2024_[Tabelas]._Total,B1,B1 - ESCOLAS QUE POSSUEM COMPUTADOR
