Total,col_1,Nenhum,Até 5,De 6 a 15,De 16 a 20,De 21 a 30,De 31 a 40,41 ou mais,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,34275,19743,15291,5321,8508,9104,23060,TOTAL,Total,TOTAL_Total,B1C,"B1C - ESCOLAS, POR NÚMERO DE DISPOSITIVOS DISPONÍVEIS PARA USO DOS ALUNOS EM ATIVIDADES EDUCACIONAIS"
REGIÃO,Norte,5482,3217,1799,498,489,235,1368,REGIÃO,Norte,REGIÃO_Norte,B1C,"B1C - ESCOLAS, POR NÚMERO DE DISPOSITIVOS DISPONÍVEIS PARA USO DOS ALUNOS EM ATIVIDADES EDUCACIONAIS"
REGIÃO,Nordeste,20864,9757,2982,1967,754,2457,4134,REGIÃO,Nordeste,REGIÃO_Nordeste,B1C,"B1C - ESCOLAS, POR NÚMERO DE DISPOSITIVOS DISPONÍVEIS PARA USO DOS ALUNOS EM ATIVIDADES EDUCACIONAIS"
REGIÃO,Sudeste,5161,4639,7161,1211,5260,3317,9727,REGIÃO,Sudeste,REGIÃO_Sudeste,B1C,"B1C - ESCOLAS, POR NÚMERO DE DISPOSITIVOS DISPONÍVEIS PARA USO DOS ALUNOS EM ATIVIDADES EDUCACIONAIS"
REGIÃO,Sul,1290,1258,2250,1049,1620,2361,5496,REGIÃO,Sul,REGIÃO_Sul,B1C,"B1C - ESCOLAS, POR NÚMERO DE DISPOSITIVOS DISPONÍVEIS PARA USO DOS ALUNOS EM ATIVIDADES EDUCACIONAIS"
REGIÃO,Centro-Oeste,1478,872,1099,596,385,734,2336,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,B1C,"B1C - ESCOLAS, POR NÚMERO DE DISPOSITIVOS DISPONÍVEIS PARA USO DOS ALUNOS EM ATIVIDADES EDUCACIONAIS"
ÁREA,Urbana,17342,11977,11918,4302,7189,8346,21875,ÁREA,Urbana,ÁREA_Urbana,B1C,"B1C - ESCOLAS, POR NÚMERO DE DISPOSITIVOS DISPONÍVEIS PARA USO DOS ALUNOS EM ATIVIDADES EDUCACIONAIS"
ÁREA,Rural,16933,7765,3373,1019,1319,758,1185,ÁREA,Rural,ÁREA_Rural,B1C,"B1C - ESCOLAS, POR NÚMERO DE DISPOSITIVOS DISPONÍVEIS PARA USO DOS ALUNOS EM ATIVIDADES EDUCACIONAIS"
LOCALIZAÇÃO,Capital,4293,1497,2507,542,1078,1663,5952,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,B1C,"B1C - ESCOLAS, POR NÚMERO DE DISPOSITIVOS DISPONÍVEIS PARA USO DOS ALUNOS EM ATIVIDADES EDUCACIONAIS"
LOCALIZAÇÃO,Interior,29982,18245,12783,4779,7430,7442,17109,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,B1C,"B1C - ESCOLAS, POR NÚMERO DE DISPOSITIVOS DISPONÍVEIS PARA USO DOS ALUNOS EM ATIVIDADES EDUCACIONAIS"
