Total,col_1,Computador de mesa_Sim,Computador de mesa_Não,Computador de mesa_Não sabe,Computador de mesa_Não respondeu,Computador portátil_Sim,Computador portátil_Não,Computador portátil_Não sabe,Computador portátil_Não respondeu,Tablet_Sim,Tablet_Não,Tablet_Não sabe,Tablet_Não respondeu,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,103097,12205,-,-,99787,15515,-,-,40205,75097,-,-,TOTAL,Total,TOTAL_Total,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
REGIÃO,Norte,12514,573,-,-,7030,6058,-,-,2374,10713,-,-,REGIÃO,Norte,REGIÃO_Norte,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
REGIÃO,Nordeste,32696,10219,-,-,37463,5453,-,-,11898,31018,-,-,REGIÃO,Nordeste,REGIÃO_Nordeste,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
REGIÃO,Sudeste,35453,1022,-,-,33795,2680,-,-,16185,20290,-,-,REGIÃO,Sudeste,REGIÃO_Sudeste,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
REGIÃO,Sul,14932,391,-,-,15264,59,-,-,7443,7880,-,-,REGIÃO,Sul,REGIÃO_Sul,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
REGIÃO,Centro-Oeste,7501,0,-,-,6236,1266,-,-,2305,5196,-,-,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
ÁREA,Urbana,79125,3825,-,-,75995,6955,-,-,34188,48762,-,-,ÁREA,Urbana,ÁREA_Urbana,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
ÁREA,Rural,23973,8380,-,-,23792,8561,-,-,6017,26335,-,-,ÁREA,Rural,ÁREA_Rural,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
LOCALIZAÇÃO,Capital,16620,912,-,-,15714,1818,-,-,9850,7682,-,-,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
LOCALIZAÇÃO,Interior,86477,11293,-,-,84072,13698,-,-,30355,67415,-,-,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
DEPENDÊNCIA ADMINISTRATIVA,Municipal,53902,8255,-,-,50664,11492,-,-,20183,41974,-,-,DEPENDÊNCIA ADMINISTRATIVA,Municipal,DEPENDÊNCIA_ADMINISTRATIVA_Municipal,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
DEPENDÊNCIA ADMINISTRATIVA,Estadual,25907,817,-,-,24438,2286,-,-,10971,15753,-,-,DEPENDÊNCIA ADMINISTRATIVA,Estadual,DEPENDÊNCIA_ADMINISTRATIVA_Estadual,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)",80439,9072,-,-,75732,13779,-,-,31573,57938,-,-,DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)","DEPENDÊNCIA_ADMINISTRATIVA_Públicas_(Municipal,_Estadual_e_Federal)",B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
DEPENDÊNCIA ADMINISTRATIVA,Particular,22658,3133,-,-,24055,1737,-,-,8632,17159,-,-,DEPENDÊNCIA ADMINISTRATIVA,Particular,DEPENDÊNCIA_ADMINISTRATIVA_Particular,B2,"B2 - ESCOLAS COM COMPUTADOR, POR TIPO DE DISPOSITIVO"
