Total,col_1,Sala da coordenação pedagógica ou da direção_Sim,Sala da coordenação pedagógica ou da direção_Não,Sala da coordenação pedagógica ou da direção_Não sabe,Sala da coordenação pedagógica ou da direção_Não respondeu,Sala da coordenação pedagógica ou da direção_Não se aplica,Sala dos professores ou sala de reunião_Sim,Sala dos professores ou sala de reunião_Não,Sala dos professores ou sala de reunião_Não sabe,Sala dos professores ou sala de reunião_Não respondeu,Sala dos professores ou sala de reunião_Não se aplica,Sala de aula_Sim,Sala de aula_Não,Sala de aula_Não sabe,Sala de aula_Não respondeu,Sala de aula_Não se aplica,Biblioteca ou sala de estudos para os alunos_Sim,Biblioteca ou sala de estudos para os alunos_Não,Biblioteca ou sala de estudos para os alunos_Não sabe,Biblioteca ou sala de estudos para os alunos_Não respondeu,Biblioteca ou sala de estudos para os alunos_Não se aplica,Laboratório de informática_Sim,Laboratório de informática_Não,Laboratório de informática_Não sabe,Laboratório de informática_Não respondeu,Laboratório de informática_Não se aplica,Sala de recursos de robótica_Sim,Sala de recursos de robótica_Não,Sala de recursos de robótica_Não sabe,Sala de recursos de robótica_Não respondeu,Sala de recursos de robótica_Não se aplica,Sala ou laboratório multimídia_Sim,Sala ou laboratório multimídia_Não,Sala ou laboratório multimídia_Não sabe,Sala ou laboratório multimídia_Não respondeu,Sala ou laboratório multimídia_Não se aplica,Pátio ou área de recreação para os alunos_Sim,Pátio ou área de recreação para os alunos_Não,Pátio ou área de recreação para os alunos_Não sabe,Pátio ou área de recreação para os alunos_Não respondeu,Pátio ou área de recreação para os alunos_Não se aplica,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,41321,61403,-,-,21944,32231,58884,40,-,33513,78834,30427,359,-,15047,53364,6547,-,-,64756,40830,110,-,-,83728,10368,203,-,-,114097,16580,1735,-,-,106353,56416,17264,-,-,50988,TOTAL,Total,TOTAL_Total,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
REGIÃO,Norte,3495,6936,-,-,5453,2635,5865,0,-,7383,6947,4773,0,-,4164,3597,770,-,-,11517,3704,0,-,-,12180,233,0,-,-,15650,589,184,-,-,15111,4979,1959,-,-,8945,REGIÃO,Norte,REGIÃO_Norte,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
REGIÃO,Nordeste,17022,19000,-,-,12689,11957,17933,40,-,18780,31678,11577,352,-,5103,16646,432,-,-,31633,6698,30,-,-,41983,2135,19,-,-,46556,3912,346,-,-,44453,24930,5078,-,-,18702,REGIÃO,Nordeste,REGIÃO_Nordeste,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
REGIÃO,Sudeste,11158,23042,-,-,2485,8290,22971,0,-,5423,22617,10232,7,-,3828,17783,3683,-,-,15218,20160,25,-,-,16500,4376,97,-,-,32211,7839,1096,-,-,27749,14666,6739,-,-,15279,REGIÃO,Sudeste,REGIÃO_Sudeste,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
REGIÃO,Sul,6678,8532,-,-,453,6484,7992,0,-,1186,12860,2017,0,-,786,11394,745,-,-,3524,8532,0,-,-,7131,2585,44,-,-,13034,3560,79,-,-,12024,7954,2051,-,-,5658,REGIÃO,Sul,REGIÃO_Sul,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
REGIÃO,Centro-Oeste,2969,3893,-,-,864,2864,4122,0,-,740,4733,1828,0,-,1165,3944,918,-,-,2864,1736,55,-,-,5935,1038,44,-,-,6644,680,30,-,-,7016,3887,1437,-,-,2403,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
ÁREA,Urbana,28092,49598,-,-,5127,21243,52683,40,-,8851,52568,19864,359,-,10026,44955,6346,-,-,31516,36532,110,-,-,46174,8944,203,-,-,73669,15794,1645,-,-,65377,38358,12918,-,-,31541,ÁREA,Urbana,ÁREA_Urbana,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
ÁREA,Rural,13229,11805,-,-,16817,10988,6201,0,-,24663,26267,10563,0,-,5022,8409,201,-,-,33240,4297,0,-,-,37554,1424,0,-,-,40428,786,90,-,-,40976,18058,4346,-,-,19447,ÁREA,Rural,ÁREA_Rural,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
LOCALIZAÇÃO,Capital,6350,10037,-,-,898,3932,11828,40,-,1485,10226,4499,7,-,2553,9895,1402,-,-,5989,7545,0,-,-,9740,3198,44,-,-,14044,4374,277,-,-,12634,8307,2082,-,-,6897,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
LOCALIZAÇÃO,Interior,34971,51366,-,-,21046,28299,47055,0,-,32028,68608,25928,352,-,12494,43469,5146,-,-,58767,33284,110,-,-,73988,7170,159,-,-,100053,12206,1457,-,-,93719,48109,15182,-,-,44091,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
