Total,col_1,"Dados cadastrais dos alunos, como, por exemplo, nome, endereço, telefone e data de nascimento_Sim","Dados cadastrais dos alunos, como, por exemplo, nome, endereço, telefone e data de nascimento_Não","Dados cadastrais dos alunos, como, por exemplo, nome, endereço, telefone e data de nascimento_Não sabe","Dados cadastrais dos alunos, como, por exemplo, nome, endereço, telefone e data de nascimento_Não respondeu","Dados cadastrais dos alunos, como, por exemplo, nome, endereço, telefone e data de nascimento_Não se aplica",Dados de frequência e notas dos alunos_Sim,Dados de frequência e notas dos alunos_Não,Dados de frequência e notas dos alunos_Não sabe,Dados de frequência e notas dos alunos_Não respondeu,Dados de frequência e notas dos alunos_Não se aplica,"Informações sobre condições físicas e de saúde dos alunos, como peso, altura, alergias, entre outros_Sim","Informações sobre condições físicas e de saúde dos alunos, como peso, altura, alergias, entre outros_Não","Informações sobre condições físicas e de saúde dos alunos, como peso, altura, alergias, entre outros_Não sabe","Informações sobre condições físicas e de saúde dos alunos, como peso, altura, alergias, entre outros_Não respondeu","Informações sobre condições físicas e de saúde dos alunos, como peso, altura, alergias, entre outros_Não se aplica",Resultados de avaliação de desempenho dos professores e de outros funcionários_Sim,Resultados de avaliação de desempenho dos professores e de outros funcionários_Não,Resultados de avaliação de desempenho dos professores e de outros funcionários_Não sabe,Resultados de avaliação de desempenho dos professores e de outros funcionários_Não respondeu,Resultados de avaliação de desempenho dos professores e de outros funcionários_Não se aplica,Informações sobre o orçamento financeiro da escola_Sim,Informações sobre o orçamento financeiro da escola_Não,Informações sobre o orçamento financeiro da escola_Não sabe,Informações sobre o orçamento financeiro da escola_Não respondeu,Informações sobre o orçamento financeiro da escola_Não se aplica,Fotos e vídeos dos alunos_Sim,Fotos e vídeos dos alunos_Não,Fotos e vídeos dos alunos_Não sabe,Fotos e vídeos dos alunos_Não respondeu,Fotos e vídeos dos alunos_Não se aplica,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,117447,12165,362,-,-,120674,9299,-,-,-,65051,63924,385,614,-,90281,39127,566,-,-,95803,33935,236,-,-,94065,34331,263,1314,-,TOTAL,Total,TOTAL_Total,E1,E1 - ESCOLAS QUE REGISTRAM OU CONSULTAM DADOS DOS ALUNOS E DA ESCOLA EM FORMATO ELETRÔNICO
REGIÃO,Norte,15989,3536,0,-,-,17792,1733,-,-,-,7766,11759,0,0,-,11652,7642,231,-,-,10780,8671,74,-,-,10500,8325,0,700,-,REGIÃO,Norte,REGIÃO_Norte,E1,E1 - ESCOLAS QUE REGISTRAM OU CONSULTAM DADOS DOS ALUNOS E DA ESCOLA EM FORMATO ELETRÔNICO
REGIÃO,Nordeste,45049,4532,0,-,-,45551,4030,-,-,-,21534,27092,342,614,-,33277,16304,0,-,-,33870,15711,0,-,-,35747,13221,0,614,-,REGIÃO,Nordeste,REGIÃO_Nordeste,E1,E1 - ESCOLAS QUE REGISTRAM OU CONSULTAM DADOS DOS ALUNOS E DA ESCOLA EM FORMATO ELETRÔNICO
REGIÃO,Sudeste,34185,3250,43,-,-,34452,3026,-,-,-,19399,18036,43,0,-,27677,9566,235,-,-,31976,5495,7,-,-,29319,7896,263,0,-,REGIÃO,Sudeste,REGIÃO_Sudeste,E1,E1 - ESCOLAS QUE REGISTRAM OU CONSULTAM DADOS DOS ALUNOS E DA ESCOLA EM FORMATO ELETRÔNICO
REGIÃO,Sul,14828,516,319,-,-,15517,146,-,-,-,10944,4719,0,0,-,11640,3924,99,-,-,12478,3086,99,-,-,13041,2622,0,0,-,REGIÃO,Sul,REGIÃO_Sul,E1,E1 - ESCOLAS QUE REGISTRAM OU CONSULTAM DADOS DOS ALUNOS E DA ESCOLA EM FORMATO ELETRÔNICO
REGIÃO,Centro-Oeste,7395,331,0,-,-,7363,363,-,-,-,5408,2318,0,0,-,6035,1691,0,-,-,6699,971,56,-,-,5458,2268,0,0,-,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,E1,E1 - ESCOLAS QUE REGISTRAM OU CONSULTAM DADOS DOS ALUNOS E DA ESCOLA EM FORMATO ELETRÔNICO
ÁREA,Urbana,78343,4358,319,-,-,77391,5630,-,-,-,44480,37586,342,614,-,59639,22915,467,-,-,68439,14515,68,-,-,63741,18446,220,614,-,ÁREA,Urbana,ÁREA_Urbana,E1,E1 - ESCOLAS QUE REGISTRAM OU CONSULTAM DADOS DOS ALUNOS E DA ESCOLA EM FORMATO ELETRÔNICO
ÁREA,Rural,39103,7806,43,-,-,43283,3669,-,-,-,20571,26338,43,0,-,30642,16211,99,-,-,27364,19420,168,-,-,30324,15885,43,700,-,ÁREA,Rural,ÁREA_Rural,E1,E1 - ESCOLAS QUE REGISTRAM OU CONSULTAM DADOS DOS ALUNOS E DA ESCOLA EM FORMATO ELETRÔNICO
LOCALIZAÇÃO,Capital,16174,1451,0,-,-,16102,1523,-,-,-,9060,8506,59,0,-,13075,4543,7,-,-,14874,2625,126,-,-,11788,5837,0,0,-,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,E1,E1 - ESCOLAS QUE REGISTRAM OU CONSULTAM DADOS DOS ALUNOS E DA ESCOLA EM FORMATO ELETRÔNICO
LOCALIZAÇÃO,Interior,101273,10714,362,-,-,104572,7776,-,-,-,55991,55418,326,614,-,77206,34583,559,-,-,80929,31310,110,-,-,82277,28495,263,1314,-,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,E1,E1 - ESCOLAS QUE REGISTRAM OU CONSULTAM DADOS DOS ALUNOS E DA ESCOLA EM FORMATO ELETRÔNICO
