Total,col_1,Sim,Não,Não sabe,Não respondeu,Não se aplica,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,111670,12326,-,-,5977,TOTAL,Total,TOTAL_Total,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
REGIÃO,Norte,13993,3868,-,-,1664,REGIÃO,Norte,REGIÃO_Norte,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
REGIÃO,Nordeste,42380,5728,-,-,1473,REGIÃO,Nordeste,REGIÃO_Nordeste,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
REGIÃO,Sudeste,32627,2268,-,-,2582,REGIÃO,Sudeste,REGIÃO_Sudeste,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
REGIÃO,Sul,15388,275,-,-,0,REGIÃO,Sul,REGIÃO_Sul,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
REGIÃO,Centro-Oeste,7283,186,-,-,257,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
ÁREA,Urbana,72876,7612,-,-,2533,ÁREA,Urbana,ÁREA_Urbana,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
ÁREA,Rural,38794,4714,-,-,3445,ÁREA,Rural,ÁREA_Rural,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
LOCALIZAÇÃO,Capital,15528,872,-,-,1225,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
LOCALIZAÇÃO,Interior,96142,11453,-,-,4752,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
DEPENDÊNCIA ADMINISTRATIVA,Municipal,65421,6557,-,-,3380,DEPENDÊNCIA ADMINISTRATIVA,Municipal,DEPENDÊNCIA_ADMINISTRATIVA_Municipal,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
DEPENDÊNCIA ADMINISTRATIVA,Estadual,27936,69,-,-,117,DEPENDÊNCIA ADMINISTRATIVA,Estadual,DEPENDÊNCIA_ADMINISTRATIVA_Estadual,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)",93984,6626,-,-,3500,DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)","DEPENDÊNCIA_ADMINISTRATIVA_Públicas_(Municipal,_Estadual_e_Federal)",E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
DEPENDÊNCIA ADMINISTRATIVA,Particular,17686,5700,-,-,2477,DEPENDÊNCIA ADMINISTRATIVA,Particular,DEPENDÊNCIA_ADMINISTRATIVA_Particular,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,46767,5722,-,-,3469,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_iniciais_do_Ensino_Fundamental,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,34449,6525,-,-,2125,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_finais_do_Ensino_Fundamental,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,30454,79,-,-,383,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_Ensino_Médio_ou_Educação_Profissional,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
PORTE,Até 50 matrículas,18726,5721,-,-,2003,PORTE,Até 50 matrículas,PORTE_Até_50_matrículas,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
PORTE,De 51 a 150 matrículas,19616,3037,-,-,2664,PORTE,De 51 a 150 matrículas,PORTE_De_51_a_150_matrículas,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
PORTE,De 151 a 300 matrículas,26428,2150,-,-,276,PORTE,De 151 a 300 matrículas,PORTE_De_151_a_300_matrículas,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
PORTE,De 301 a 500 matrículas,22695,864,-,-,773,PORTE,De 301 a 500 matrículas,PORTE_De_301_a_500_matrículas,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
PORTE,De 501 a 1.000 matrículas,18626,554,-,-,261,PORTE,De 501 a 1.000 matrículas,PORTE_De_501_a_1.000_matrículas,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
PORTE,Mais de 1.000 matrículas,5580,0,-,-,0,PORTE,Mais de 1.000 matrículas,PORTE_Mais_de_1.000_matrículas,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,71601,3364,-,-,1454,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Sim,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,40069,8961,-,-,4523,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Não,E1A,"E1A - ESCOLAS, POR ADOÇÃO DE DIÁRIO DE CLASSE ONLINE OU SISTEMA DE CONTROLE DE MATRÍCULA, DE NOTAS E DE FREQUÊNCIA DOS ALUNOS"
