Total,col_1,Site_Sim,Site_Não,Site_Não sabe,Site_Não respondeu,Blog_Sim,Blog_Não,Blog_Não sabe,Blog_Não respondeu,E-mail institucional_Sim,E-mail institucional_Não,E-mail institucional_Não sabe,E-mail institucional_Não respondeu,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,38104,91597,272,-,9155,120644,134,40,106512,23461,-,-,TOTAL,Total,TOTAL_Total,F1,"F1 - ESCOLAS QUE POSSUEM SITE, BLOG OU E-MAIL INSTITUCIONAL"
REGIÃO,Norte,4503,15022,0,-,1617,17840,68,0,12087,7438,-,-,REGIÃO,Norte,REGIÃO_Norte,F1,"F1 - ESCOLAS QUE POSSUEM SITE, BLOG OU E-MAIL INSTITUCIONAL"
REGIÃO,Nordeste,10981,38569,30,-,2708,46833,0,40,39252,10329,-,-,REGIÃO,Nordeste,REGIÃO_Nordeste,F1,"F1 - ESCOLAS QUE POSSUEM SITE, BLOG OU E-MAIL INSTITUCIONAL"
REGIÃO,Sudeste,13004,24371,103,-,2295,35123,60,0,33206,4272,-,-,REGIÃO,Sudeste,REGIÃO_Sudeste,F1,"F1 - ESCOLAS QUE POSSUEM SITE, BLOG OU E-MAIL INSTITUCIONAL"
REGIÃO,Sul,6409,9115,139,-,1159,14504,0,0,14898,765,-,-,REGIÃO,Sul,REGIÃO_Sul,F1,"F1 - ESCOLAS QUE POSSUEM SITE, BLOG OU E-MAIL INSTITUCIONAL"
REGIÃO,Centro-Oeste,3207,4519,0,-,1376,6343,6,0,7069,657,-,-,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,F1,"F1 - ESCOLAS QUE POSSUEM SITE, BLOG OU E-MAIL INSTITUCIONAL"
ÁREA,Urbana,33512,49280,229,-,8275,74622,122,2,79729,3292,-,-,ÁREA,Urbana,ÁREA_Urbana,F1,"F1 - ESCOLAS QUE POSSUEM SITE, BLOG OU E-MAIL INSTITUCIONAL"
ÁREA,Rural,4592,42317,43,-,880,46021,13,37,26783,20169,-,-,ÁREA,Rural,ÁREA_Rural,F1,"F1 - ESCOLAS QUE POSSUEM SITE, BLOG OU E-MAIL INSTITUCIONAL"
LOCALIZAÇÃO,Capital,8611,8983,30,-,2470,15060,55,40,15906,1719,-,-,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,F1,"F1 - ESCOLAS QUE POSSUEM SITE, BLOG OU E-MAIL INSTITUCIONAL"
LOCALIZAÇÃO,Interior,29493,82613,242,-,6685,105584,79,0,90605,21743,-,-,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,F1,"F1 - ESCOLAS QUE POSSUEM SITE, BLOG OU E-MAIL INSTITUCIONAL"
