Total,col_1,Sim,Não,Não sabe,Não respondeu,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,92959,36918,95,-,TOTAL,Total,TOTAL_Total,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
REGIÃO,Norte,8431,10998,95,-,REGIÃO,Norte,REGIÃO_Norte,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
REGIÃO,Nordeste,33682,15899,0,-,REGIÃO,Nordeste,REGIÃO_Nordeste,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
REGIÃO,Sudeste,30937,6541,0,-,REGIÃO,Sudeste,REGIÃO_Sudeste,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
REGIÃO,Sul,12982,2681,0,-,REGIÃO,Sul,REGIÃO_Sul,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
REGIÃO,Centro-Oeste,6927,799,0,-,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
ÁREA,Urbana,73483,9512,26,-,ÁREA,Urbana,ÁREA_Urbana,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
ÁREA,Rural,19476,27407,69,-,ÁREA,Rural,ÁREA_Rural,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
LOCALIZAÇÃO,Capital,15178,2352,95,-,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
LOCALIZAÇÃO,Interior,77781,34567,0,-,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
DEPENDÊNCIA ADMINISTRATIVA,Municipal,41763,33569,26,-,DEPENDÊNCIA ADMINISTRATIVA,Municipal,DEPENDÊNCIA_ADMINISTRATIVA_Municipal,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
DEPENDÊNCIA ADMINISTRATIVA,Estadual,25506,2547,69,-,DEPENDÊNCIA ADMINISTRATIVA,Estadual,DEPENDÊNCIA_ADMINISTRATIVA_Estadual,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)",67892,36123,95,-,DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)","DEPENDÊNCIA_ADMINISTRATIVA_Públicas_(Municipal,_Estadual_e_Federal)",F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
DEPENDÊNCIA ADMINISTRATIVA,Particular,25067,796,0,-,DEPENDÊNCIA ADMINISTRATIVA,Particular,DEPENDÊNCIA_ADMINISTRATIVA_Particular,F2,F2 - ESCOLAS QUE POSSUEM PERFIL OU PÁGINA EM REDES SOCIAIS
