Total,col_1,Microsoft Teams_Sim,Microsoft Teams_Não,Microsoft Teams_Não sabe,Microsoft Teams_Não respondeu,Zoom_Sim,Zoom_Não,Zoom_Não sabe,Zoom_Não respondeu,Moodle_Sim,Moodle_Não,Moodle_Não sabe,Moodle_Não respondeu,"Google Sala de Aula, Classroom ou Google For Education_Sim","Google Sala de Aula, Classroom ou Google For Education_Não","Google Sala de Aula, Classroom ou Google For Education_Não sabe","Google Sala de Aula, Classroom ou Google For Education_Não respondeu",Google Meet_Sim,Google Meet_Não,Google Meet_Não sabe,Google Meet_Não respondeu,Google (total)_Sim,Google (total)_Não,AVAMEC_Sim,AVAMEC_Não,AVAMEC_Não sabe,AVAMEC_Não respondeu,Outros ambientes ou plataformas_Sim,Outros ambientes ou plataformas_Não,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,30785,96571,2617,-,31932,94405,2409,1227,7295,118656,3257,765,39308,90106,559,-,72414,57321,238,-,77141,52832,29506,94848,3508,2111,21584,108389,TOTAL,Total,TOTAL_Total,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
REGIÃO,Norte,3927,15416,182,-,3191,16200,134,0,473,18913,139,0,2883,16550,91,-,6162,13313,50,-,6437,13088,5157,14234,134,0,2550,16975,REGIÃO,Norte,REGIÃO_Norte,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
REGIÃO,Nordeste,6037,42842,701,-,10218,38096,40,1227,2497,45783,537,765,11731,37809,41,-,26801,22739,41,-,28440,21141,8970,38158,442,2011,7055,42526,REGIÃO,Nordeste,REGIÃO_Nordeste,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
REGIÃO,Sudeste,14720,21811,947,-,13393,22240,1846,0,1409,34380,1689,0,13090,24077,311,-,22694,14659,125,-,23617,13861,9239,26572,1667,0,5232,32246,REGIÃO,Sudeste,REGIÃO_Sudeste,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
REGIÃO,Sul,2967,11910,787,-,3068,12205,390,0,2106,12721,836,0,9092,6571,0,-,11614,4049,0,-,13355,2308,2892,11438,1232,101,3859,11804,REGIÃO,Sul,REGIÃO_Sul,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
REGIÃO,Centro-Oeste,3134,4592,0,-,2063,5663,0,0,810,6859,56,0,2513,5098,116,-,5144,2561,22,-,5292,2434,3248,4446,32,0,2887,4839,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
ÁREA,Urbana,23705,57115,2201,-,23069,56812,1913,1227,4746,74359,3151,765,31623,50839,559,-,51163,31620,238,-,55488,27533,20028,59056,3200,737,15652,67369,ÁREA,Urbana,ÁREA_Urbana,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
ÁREA,Rural,7080,39456,416,-,8864,37593,496,0,2550,44297,106,0,7686,39266,0,-,21251,25701,0,-,21654,25298,9478,35792,307,1374,5931,41021,ÁREA,Rural,ÁREA_Rural,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
LOCALIZAÇÃO,Capital,5147,12124,354,-,5141,12113,370,0,1336,15798,491,0,6551,11029,44,-,10964,6473,188,-,11882,5743,2777,14323,523,2,5028,12597,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
LOCALIZAÇÃO,Interior,25638,84447,2263,-,26791,82291,2038,1227,5959,102858,2766,765,32757,79076,515,-,61450,50848,50,-,65259,47089,26729,80525,2985,2109,16555,95793,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
