Total,col_1,Educação infantil_Sim,Educação infantil_Não,Educação infantil_Não sabe,Educação infantil_Não respondeu,Anos iniciais do Ensino Fundamental_Sim,Anos iniciais do Ensino Fundamental_Não,Anos iniciais do Ensino Fundamental_Não sabe,Anos iniciais do Ensino Fundamental_Não respondeu,Anos finais do Ensino Fundamental_Sim,Anos finais do Ensino Fundamental_Não,Anos finais do Ensino Fundamental_Não sabe,Anos finais do Ensino Fundamental_Não respondeu,Ensino Médio_Sim,Ensino Médio_Não,Ensino Médio_Não sabe,Ensino Médio_Não respondeu,Ensino técnico ou profissionalizante_Sim,Ensino técnico ou profissionalizante_Não,Ensino técnico ou profissionalizante_Não sabe,Ensino técnico ou profissionalizante_Não respondeu,Alfabetização e Educação de Jovens e Adultos_Sim,Alfabetização e Educação de Jovens e Adultos_Não,Alfabetização e Educação de Jovens e Adultos_Não sabe,Alfabetização e Educação de Jovens e Adultos_Não respondeu,Outros níveis de ensino_Sim,Outros níveis de ensino_Não,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,74424,55541,8,-,104717,25248,8,-,68006,61959,8,-,32396,97577,-,-,22060,107880,-,33,6919,123054,-,-,7231,122742,TOTAL,Total,TOTAL_Total,K3,"K3 - ESCOLAS, POR NÍVEIS DE ENSINO OFERTADOS"
REGIÃO,Norte,12777,6748,0,-,16884,2641,0,-,13217,6308,0,-,5312,14213,-,-,3048,16477,-,0,294,19231,-,-,409,19116,REGIÃO,Norte,REGIÃO_Norte,K3,"K3 - ESCOLAS, POR NÍVEIS DE ENSINO OFERTADOS"
REGIÃO,Nordeste,32232,17349,0,-,41135,8446,0,-,19037,30544,0,-,6985,42596,-,-,12283,37298,-,0,1211,48370,-,-,2119,47462,REGIÃO,Nordeste,REGIÃO_Nordeste,K3,"K3 - ESCOLAS, POR NÍVEIS DE ENSINO OFERTADOS"
REGIÃO,Sudeste,17969,19501,8,-,28153,9317,8,-,21174,16296,8,-,11517,25961,-,-,4429,33015,-,33,3101,34377,-,-,3534,33944,REGIÃO,Sudeste,REGIÃO_Sudeste,K3,"K3 - ESCOLAS, POR NÍVEIS DE ENSINO OFERTADOS"
REGIÃO,Sul,7348,8315,0,-,13080,2583,0,-,9557,6106,0,-,5145,10518,-,-,1050,14613,-,0,1614,14049,-,-,852,14811,REGIÃO,Sul,REGIÃO_Sul,K3,"K3 - ESCOLAS, POR NÍVEIS DE ENSINO OFERTADOS"
REGIÃO,Centro-Oeste,4097,3629,0,-,5466,2260,0,-,5021,2705,0,-,3437,4289,-,-,1249,6477,-,0,698,7028,-,-,317,7409,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,K3,"K3 - ESCOLAS, POR NÍVEIS DE ENSINO OFERTADOS"
ÁREA,Urbana,38762,44251,8,-,61550,21463,8,-,47331,35682,8,-,26529,56492,-,-,16369,66652,-,0,6458,76563,-,-,6749,76272,ÁREA,Urbana,ÁREA_Urbana,K3,"K3 - ESCOLAS, POR NÍVEIS DE ENSINO OFERTADOS"
ÁREA,Rural,35662,11290,0,-,43168,3784,0,-,20675,26277,0,-,5867,41085,-,-,5691,41227,-,33,460,46492,-,-,482,46470,ÁREA,Rural,ÁREA_Rural,K3,"K3 - ESCOLAS, POR NÍVEIS DE ENSINO OFERTADOS"
LOCALIZAÇÃO,Capital,8622,8995,8,-,13763,3854,8,-,9512,8105,8,-,6445,11180,-,-,2985,14640,-,0,1688,15937,-,-,749,16876,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,K3,"K3 - ESCOLAS, POR NÍVEIS DE ENSINO OFERTADOS"
LOCALIZAÇÃO,Interior,65802,46546,0,-,90954,21394,0,-,58494,53854,0,-,25952,86396,-,-,19074,93240,-,33,5230,107118,-,-,6482,105866,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,K3,"K3 - ESCOLAS, POR NÍVEIS DE ENSINO OFERTADOS"
