Total,col_1,Manhã_Até 50 alunos,Manhã_De 51 a 200 alunos,Manhã_De 201 a 350 alunos,Manhã_de 351 a 500 alunos,Manhã_Mais de 500 alunos,Manhã_Não sabe,Manhã_Não respondeu,Manhã_Não se aplica,Tarde_Até 50 alunos,Tarde_De 51 a 200 alunos,Tarde_De 201 a 350 alunos,Tarde_de 351 a 500 alunos,Tarde_Mais de 500 alunos,Tarde_Não sabe,Tarde_Não respondeu,Tarde_Não se aplica,Noite_Até 50 alunos,Noite_De 51 a 200 alunos,Noite_De 201 a 350 alunos,Noite_de 351 a 500 alunos,Noite_Mais de 500 alunos,Noite_Não sabe,Noite_Não respondeu,Noite_Não se aplica,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,36919,46021,24667,14586,4047,83,51,3598,29264,46988,19884,11290,2907,83,51,19507,12072,11424,2454,579,323,83,-,103038,TOTAL,Total,TOTAL_Total,K6,"K6 - ESCOLAS, POR NÚMERO DE ALUNOS QUE FREQUENTAM A ESCOLA, POR PERÍODO DE FUNCIONAMENTO"
REGIÃO,Norte,8798,6579,1593,1322,533,0,0,700,7867,5104,1677,1166,254,0,0,3456,2380,1126,76,94,16,0,-,15833,REGIÃO,Norte,REGIÃO_Norte,K6,"K6 - ESCOLAS, POR NÚMERO DE ALUNOS QUE FREQUENTAM A ESCOLA, POR PERÍODO DE FUNCIONAMENTO"
REGIÃO,Nordeste,17141,19555,7977,2717,618,18,0,1554,11900,19004,4923,2294,531,18,0,10912,6305,4989,298,214,18,18,-,37738,REGIÃO,Nordeste,REGIÃO_Nordeste,K6,"K6 - ESCOLAS, POR NÚMERO DE ALUNOS QUE FREQUENTAM A ESCOLA, POR PERÍODO DE FUNCIONAMENTO"
REGIÃO,Sudeste,7500,11452,10018,6933,1007,65,51,451,4617,14232,8487,5506,699,65,51,3821,2502,3553,848,237,121,65,-,30151,REGIÃO,Sudeste,REGIÃO_Sudeste,K6,"K6 - ESCOLAS, POR NÚMERO DE ALUNOS QUE FREQUENTAM A ESCOLA, POR PERÍODO DE FUNCIONAMENTO"
REGIÃO,Sul,3078,5143,2858,2436,1408,0,0,741,4053,5696,2902,1384,1104,0,0,524,212,1178,892,27,166,0,-,13188,REGIÃO,Sul,REGIÃO_Sul,K6,"K6 - ESCOLAS, POR NÚMERO DE ALUNOS QUE FREQUENTAM A ESCOLA, POR PERÍODO DE FUNCIONAMENTO"
REGIÃO,Centro-Oeste,402,3293,2221,1178,480,0,0,153,828,2952,1895,940,318,0,0,793,674,577,339,6,2,0,-,6127,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,K6,"K6 - ESCOLAS, POR NÚMERO DE ALUNOS QUE FREQUENTAM A ESCOLA, POR PERÍODO DE FUNCIONAMENTO"
ÁREA,Urbana,6959,34723,22296,14423,3987,65,0,568,7537,37136,18507,11234,2804,65,0,5738,7106,9663,2202,552,323,65,-,63110,ÁREA,Urbana,ÁREA_Urbana,K6,"K6 - ESCOLAS, POR NÚMERO DE ALUNOS QUE FREQUENTAM A ESCOLA, POR PERÍODO DE FUNCIONAMENTO"
ÁREA,Rural,29960,11298,2371,163,60,18,51,3031,21727,9852,1376,56,103,18,51,13768,4967,1761,251,28,0,18,-,39927,ÁREA,Rural,ÁREA_Rural,K6,"K6 - ESCOLAS, POR NÚMERO DE ALUNOS QUE FREQUENTAM A ESCOLA, POR PERÍODO DE FUNCIONAMENTO"
LOCALIZAÇÃO,Capital,2256,4347,4793,4745,1347,65,0,72,1753,6451,3431,3358,923,65,0,1643,927,1935,345,278,89,65,-,13986,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,K6,"K6 - ESCOLAS, POR NÚMERO DE ALUNOS QUE FREQUENTAM A ESCOLA, POR PERÍODO DE FUNCIONAMENTO"
LOCALIZAÇÃO,Interior,34663,41674,19874,9841,2700,18,51,3527,27510,40537,16452,7932,1983,18,51,17864,11145,9489,2109,301,234,18,-,89051,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,K6,"K6 - ESCOLAS, POR NÚMERO DE ALUNOS QUE FREQUENTAM A ESCOLA, POR PERÍODO DE FUNCIONAMENTO"
